"S.No.","Local Body Code","Local Body Version","Local Body Name (In English)","Local Body Name (In Local)","Localbody Type Code","Local Body Type Name","Parent Localbody Code"
"179.0","259346","1","Tani","Tani","11","Village Council","259326"
"180.0","259376","1","Tapani (Tapainy)","Tapani (Tapainy)","11","Village Council","259362"
"181.0","259388","1","Tapiang","Tapiang","11","Village Council","259362"
"182.0","259322","1","Tapoiming","Tapoiming","11","Village Council","259309"
"183.0","259369","1","Tappong (Incl. Kabila)","Tappong (Incl. Kabila)","11","Village Council","259362"
"184.0","259350","1","Tavinkin","Tavakin","11","Village Council","259326"
"185.0","259311","1","Teetop","Teetop","11","Village Council","259309"
"186.0","259390","1","Tilang Chong Island","Tilang Chong Island","11","Village Council","259362"
"187.0","259402","1","Toame/Inme","Toame/Inme","11","Village Council","259393"
"188.0","259391","1","Trinket","Trinket","11","Village Council","259362"
"189.0","259503","1","Trinket Bay","Trinket Bay","11","Village Council","259444"
"190.0","259392","1","Upper Katchal","Upper Katchal","11","Village Council","259362"
"191.0","259418","1","Upper Tapu","Upper Tapu","11","Village Council","259393"
"192.0","259413","1","Vikas Nagar","Vikas Nagar","11","Village Council","259393"
"193.0","259342","1","Vyavtapu","Vyavtapu","11","Village Council","259326"
"194.0","259358","1","West Bay Katchal (Hindra)","West Bay Katchal (Hindra)","11","Village Council","259326"
"195.0","259309","1","Car Nicobar","Car Nicobar","19","Tribal Council",""
"196.0","259438","1","Chowra","Chowra","19","Tribal Council",""
"197.0","259393","1","Kamorta","KAMORTA","19","Tribal Council",""
"198.0","259326","1","Katchal","Katchal","19","Tribal Council",""
"199.0","259444","1","Littlenicobar&Greatnicobar","LittleNicobar&GreatNicobar","19","Tribal Council",""
"200.0","259362","2","Nancowry","NANCOWRY","19","Tribal Council",""
"201.0","259426","2","Teressa","Teressa","19","Tribal Council",""
