"S.No.","District Code","District Name","Sub-District Code","Sub-District Name","Village Code","Village Version","Village Name","Village Name","Village Category","Village Status","Census 2001 Code","Census 2011 Code"
"203","632","North And Middle Andaman","5919","Diglipur","645253","1","Amber Chad (Efa)","","Rural","Un-Inhabitant","00001200","645253"
"204","632","North And Middle Andaman","5919","Diglipur","645282","1","Austin Creek (Fdca)","","Rural","Un-Inhabitant","00006900","645282"
"205","632","North And Middle Andaman","5919","Diglipur","645287","1","Austin II (Efa)","","Rural","Un-Inhabitant","00007500","645287"
"206","632","North And Middle Andaman","5919","Diglipur","645285","1","Austin IX (Fc)","","Rural","Un-Inhabitant","00007200","645285"
"207","632","North And Middle Andaman","5919","Diglipur","645269","1","Bali Nallaha (Efa)","","Rural","Un-Inhabitant","00005000","645269"
"208","632","North And Middle Andaman","5919","Diglipur","645270","3","Bamboo Nallaha (Efa)","","Rural","Un-Inhabitant","00005100","645270"
"209","632","North And Middle Andaman","5919","Diglipur","645284","3","Bamboo Nallaha (Efa)","","Rural","Un-Inhabitant","00007100","645284"
"210","632","North And Middle Andaman","5919","Diglipur","645249","1","Bandhan Nallaha (Efa)","","Rural","Un-Inhabitant","00000700","645249"
"211","632","North And Middle Andaman","5919","Diglipur","645277","1","Bara Dabla (Efa)","","Rural","Un-Inhabitant","00006300","645277"
"212","632","North And Middle Andaman","5919","Diglipur","645267","1","Baskata Nallaha (Efa)","","Rural","Un-Inhabitant","00004800","645267"
"213","632","North And Middle Andaman","5919","Diglipur","645247","1","Beach Dera (Efa)","","Rural","Un-Inhabitant","00000500","645247"
"214","632","North And Middle Andaman","5919","Diglipur","645240","1","Borang (Rv)","","Rural","Un-Inhabitant","00006700","645240"
"215","632","North And Middle Andaman","5919","Diglipur","645258","1","Burmachad (Efa)","","Rural","Un-Inhabitant","00001800","645258"
"216","632","North And Middle Andaman","5919","Diglipur","645248","1","Coffe Dera (Efa)","","Rural","Un-Inhabitant","00000600","645248"
"217","632","North And Middle Andaman","5919","Diglipur","645290","1","Curlew Island (Fcpa)","","Rural","Un-Inhabitant","00007900","645290"
"218","632","North And Middle Andaman","5919","Diglipur","645217","1","Deshbandhugram (Rv)","","Rural","Inhabitant","00002400","645217"
"219","632","North And Middle Andaman","5919","Diglipur","645223","2","Diglipur Part-Ii","","Rural","Inhabitant","00003300","645223"
"220","632","North And Middle Andaman","5919","Diglipur","645228","1","Durgapur (Rv)","","Rural","Inhabitant","00003800","645228"
"221","632","North And Middle Andaman","5919","Diglipur","645243","1","East Island (Police Post & Light House)","","Rural","Un-Inhabitant","00000100","645243"
"222","632","North And Middle Andaman","5919","Diglipur","645246","1","Elezabeth Bay (Efa)","","Rural","Un-Inhabitant","00000400","645246"
"223","632","North And Middle Andaman","5919","Diglipur","645255","2","Gandhi Nagar","","Rural","Inhabitant","00001400","645255"
"224","632","North And Middle Andaman","5919","Diglipur","645256","1","Gandhi Nagar (Forest Beat)","","Rural","Un-Inhabitant","00001500","645256"
"225","632","North And Middle Andaman","5919","Diglipur","645252","2","Ganesh Nagar","","Rural","Inhabitant","00001100","645252"
"226","632","North And Middle Andaman","5919","Diglipur","645281","1","Ganna Dabla (Efa)","","Rural","Un-Inhabitant","00006800","645281"
"227","632","North And Middle Andaman","5919","Diglipur","645272","1","Ganna Level (Efa)","","Rural","Un-Inhabitant","00005300","645272"
"228","632","North And Middle Andaman","5919","Diglipur","645259","1","Haran Nallaha (Efa)","","Rural","Un-Inhabitant","00002100","645259"
"229","632","North And Middle Andaman","5919","Diglipur","645286","1","Hara Tikry (Efa)","","Rural","Un-Inhabitant","00007300","645286"
"230","632","North And Middle Andaman","5919","Diglipur","645250","1","Haridas Kattai (Efa)","","Rural","Un-Inhabitant","00000800","645250"
"231","632","North And Middle Andaman","5919","Diglipur","645278","1","Hoari Bay (Efa)","","Rural","Un-Inhabitant","00006400","645278"
"232","632","North And Middle Andaman","5919","Diglipur","645238","1","Jagannath Dera (Rv)","","Rural","Inhabitant","00005800","645238"
"233","632","North And Middle Andaman","5919","Diglipur","645237","1","Kalighat (Rv)","","Rural","Inhabitant","00005700","645237"
"234","632","North And Middle Andaman","5919","Diglipur","645230","1","Kalipur (Rv)","","Rural","Inhabitant","00004000","645230"
"235","632","North And Middle Andaman","5919","Diglipur","645245","1","Karen Basti (Efa)","","Rural","Un-Inhabitant","00000300","645245"
"236","632","North And Middle Andaman","5919","Diglipur","645226","1","Keralapuram (Rv)","","Rural","Inhabitant","00003600","645226"
"237","632","North And Middle Andaman","5919","Diglipur","645264","1","Khudirampur (Efa)","","Rural","Un-Inhabitant","00004200","645264"
