"S.No.","District Code","District Name","District Census 2011 Code","District Census 2001 Code","Subdistrict Code","Subdistrict Name","Subdistrict Census 2011 Code","Subdistrict Census 2001 Code","Village Code","Village Name","Village Census 2011 Code","Village Census 2001 Code","Local Body Code","Local Body Name"
"211","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645277","Bara Dabla (Efa)","645277","00006300","234465","Diglipur"
"212","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645267","Baskata Nallaha (Efa)","645267","00004800","234465","Diglipur"
"213","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645247","Beach Dera (Efa)","645247","00000500","234465","Diglipur"
"214","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645240","Borang (Rv)","645240","00006700","234468","Kishorinagar"
"215","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645258","Burmachad (Efa)","645258","00001800","234465","Diglipur"
"216","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645248","Coffe Dera (Efa)","645248","00000600","234465","Diglipur"
"217","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645290","Curlew Island (Fcpa)","645290","00007900","234465","Diglipur"
"218","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645217","Deshbandhugram (Rv)","645217","00002400","234470","Madhupur"
"219","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645223","Diglipur Part-Ii","645223","00003300","234465","Diglipur"
"220","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645223","Diglipur Part-Ii","645223","00003300","234477","Subashgram"
"221","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645228","Durgapur (Rv)","645228","00003800","234475","Shibpur"
"222","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645243","East Island (Police Post & Light House)","645243","00000100","234465","Diglipur"
"223","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645246","Elezabeth Bay (Efa)","645246","00000400","234465","Diglipur"
"224","632","North And Middle Andaman","639","","5919","Diglipur","05919","0","645255","Gandhi Nagar","645255","00001400","245696","Gandhi Nagar"
