"State Code","State Name (In English)","District Code","District Name (In English)","Development Block Code","Development Block Name (In English)","Village Code","Village Name (In English)"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645080","Upper Katchal"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645130","Vikas Nagar"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645062","Vyavtapu*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645084","W.B.Katchal/Hindra*"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645280","Aam Tikry (Fdca)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645227","Aerial Bay (Rv)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645253","Amber Chad (Efa)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645282","Austin Creek (Fdca)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645287","Austin II (Efa)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645285","Austin IX (Fc)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645269","Bali Nallaha (Efa)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645270","Bamboo Nallaha (Efa)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645284","Bamboo Nallaha (Efa)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645249","Bandhan Nallaha (Efa)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645277","Bara Dabla (Efa)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645267","Baskata Nallaha (Efa)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645247","Beach Dera (Efa)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645240","Borang (Rv)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645258","Burmachad (Efa)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645248","Coffe Dera (Efa)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645290","Curlew Island (Fcpa)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645217","Deshbandhugram (Rv)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645223","Diglipur Part-Ii"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645228","Durgapur (Rv)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645243","East Island (Police Post & Light House)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645246","Elezabeth Bay (Efa)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645255","Gandhi Nagar"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645256","Gandhi Nagar (Forest Beat)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645252","Ganesh Nagar"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645281","Ganna Dabla (Efa)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645272","Ganna Level (Efa)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645259","Haran Nallaha (Efa)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645286","Hara Tikry (Efa)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645250","Haridas Kattai (Efa)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645278","Hoari Bay (Efa)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645238","Jagannath Dera (Rv)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645237","Kalighat (Rv)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645230","Kalipur (Rv)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645245","Karen Basti (Efa)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645226","Keralapuram (Rv)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645264","Khudirampur (Efa)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645231","Khudirampur (Rv)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645234","Kishori Nagar (Rv)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645219","Krishnapuri (Rv)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645265","Lamiya Bay (Efa)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645266","Lamiya Bay (Wls)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645292","Land Fall Island (Police Post)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645260","Laxmipur (Efa)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645216","Laxmipur (Rv)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645218","Madhupur (Rv)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645235","Madhyamgram (Rv)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645215","Milangram (Rv)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645241","Mohanpur (Rv)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645268","Mutha Nallaha (Efa)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645232","Nabagram (Rv)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645273","Narayan Tikri (Efa)"
